usuario,texto,entidade_mencionada,score_sentimento
3184b5ae-cd29-4695-b0f9-64602efe7d86,qual o @ dos fotógrafos do evento,Fotografos,0.0
b9ce085c-74f8-412e-8a55-1391f0867ebd,os qr-codes foram mostrados no inicio das palestras das 14:00,Inicio,0.0
b9ce085c-74f8-412e-8a55-1391f0867ebd,os qr-codes foram mostrados no inicio das palestras das 14:00,Qr-codes,0.0
b9ce085c-74f8-412e-8a55-1391f0867ebd,os qr-codes foram mostrados no inicio das palestras das 14:00,Palestras,0.0
b9ce085c-74f8-412e-8a55-1391f0867ebd,os qr-codes foram mostrados no inicio das palestras das 14:00,14:00,0.0
b9ce085c-74f8-412e-8a55-1391f0867ebd,serão mostrados novamente no final das palestras das 14:00,Final,0.0
b9ce085c-74f8-412e-8a55-1391f0867ebd,serão mostrados novamente no final das palestras das 14:00,Palestras,0.0
b9ce085c-74f8-412e-8a55-1391f0867ebd,serão mostrados novamente no final das palestras das 14:00,14:00,0.0
2615c42b-7054-4037-9fb0-0ab0075760b1,não me inscrevi no transfer pra a volta ao aeroporto hoje,Aeroporto,-0.296
2615c42b-7054-4037-9fb0-0ab0075760b1,não me inscrevi no transfer pra a volta ao aeroporto hoje,Transfer,-0.296
2615c42b-7054-4037-9fb0-0ab0075760b1,não me inscrevi no transfer pra a volta ao aeroporto hoje,Volta,-0.296
0275a659-84e2-45b4-8b36-75bc13084819,"fotos do evento:
https://arleyprates",Fotografos,0.0
0275a659-84e2-45b4-8b36-75bc13084819,"fotos do evento:
https://arleyprates",Https://arleyprates,0.0
0275a659-84e2-45b4-8b36-75bc13084819,com/disk/2026-05-25-wrnp-2026,Disk/,0.0
