participante,comentário,dia
ed496342-5088-4e03-9bf6-270dbfd06758,abertura do wit tá com clima descontraído e muito bonita decoração do palco <3,22/07/2025 09:11
b8b92070-a5ba-4bca-ab6c-1976294cf8da,que felicidade estar junto a tantas mulheres potentes e arretadas!!!,22/07/2025 09:14
7ff8200d-cf7f-46b9-82e4-f6cf85fded45,está tudo lindo 💖,22/07/2025 09:15
98407e6b-7f8d-4182-abe5-b3d92e3d6f11,excelente!,22/07/2025 09:17
98407e6b-7f8d-4182-abe5-b3d92e3d6f11,👏🏻👏🏻👏🏻,22/07/2025 09:17
268e12fc-6012-41e0-9301-483b58059c69,"tá tudo muito lindo, vai ser incrível!",22/07/2025 09:19
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,"a palestra do wit está sensacional, que seja uma experiência proveitosa para conhecer mulheres em todo o brasil.",22/07/2025 09:24
268e12fc-6012-41e0-9301-483b58059c69,podemos chegar a todos os lugares! incrível!,22/07/2025 09:27
94e79e36-97e0-4aa4-b033-298dd22658d1,o wit 2025 já é sucesso!,22/07/2025 09:31
94e79e36-97e0-4aa4-b033-298dd22658d1,parabéns à organização do wit por cuidarem com tanto carinho do evento! =d,22/07/2025 09:34
01bdf958-26a8-4cbb-9001-f8323dd02301,que mulheres maravilhosas!!,22/07/2025 09:37
5bb974d7-0d42-4ba7-b115-6f2821843ecc,que alegria poder participar do wit 2025! ansiosa por esses três dias!,22/07/2025 09:39
17a6d940-56ba-4d72-8c6b-3f765a91e6ac,espero sair desse evento bem representada por ser mulher na área de tecnologia e que tenha mais visibilidade em relação aos debates.,22/07/2025 09:40
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,a palestra do wit no congresso foi extremamente inspiradora. ver mulheres compartilhando seus desafios na tecnologia reforça a importância de promover mais equidade e representatividade na área.,22/07/2025 09:43
9a0b6f46-36e7-4cce-81e7-87d8c0dec201,que energia maravilhosa na palestra do wit! sair desse espaço me fez lembrar por que escolhi estar na tecnologia,22/07/2025 09:43
adec314d-1120-4e55-985a-8bdbbf48be55,"gurias na computação, presente!",22/07/2025 09:43
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"participar do wit é uma experiência enriquecedora e inspiradora. estar ao lado de tantas mulheres incríveis, conhecendo suas trajetórias, desafios e conquistas na área da tecnologia.",22/07/2025 09:47
1bfbf56f-28e4-4dee-874f-83823030bda3,"segunda edição que participo do wit, e como na edição passada, o evento está lindo! as mulheres que fazem isso acontecer são uma grande inspiração para mim.",22/07/2025 09:49
6e490da9-d604-49fa-b782-7cc09c1615d3,esse evento é extremamente importante para que mulheres de tecnologias se vejam representadas.,22/07/2025 09:50
6e490da9-d604-49fa-b782-7cc09c1615d3,espero em breve fazer parte do grupo de projetos associados às meninas digitais. muito significado estar num evento que valoriza mulheres na tecnologia.,22/07/2025 09:51
2c016692-1092-46cc-876c-ed6be5556315,evento inspirador!,22/07/2025 09:52
ae163e36-169f-44a1-8c73-558123924278,incrível ouvir de uma mulher na área de cibersegurança. inspiração.,22/07/2025 09:55
ae163e36-169f-44a1-8c73-558123924278,boa ideia de gamificação. dinâmica atraente.,22/07/2025 09:55
1adbc12f-bf03-4c55-8960-539251e80c9e,amando,22/07/2025 09:56
934ac1e9-8a9e-4865-977f-b22e4bbce84e,uhuuul ansiosa por toda a programação,22/07/2025 09:56
01bdf958-26a8-4cbb-9001-f8323dd02301,já quero brindeess,22/07/2025 09:56
0075ff65-ea4f-498d-992f-ada2464aa615,muito show a abertura!,22/07/2025 09:56
c2b6bd29-c4b7-4ad9-ab56-0ec11fd42341,muita emoção neste inicio do wit,22/07/2025 09:56
c90f49e7-30eb-4954-bad6-ff13e4342a57,ansiosa para todos esses dias!,22/07/2025 09:57
ed496342-5088-4e03-9bf6-270dbfd06758,abertura está cheia de momentos especiais 🤩,22/07/2025 09:57
97bb898c-af32-4429-b56c-5914309a8775,muito feliz de conhecer mulheres tão incríveis!!!,22/07/2025 09:57
c90f49e7-30eb-4954-bad6-ff13e4342a57,amando tudo!,22/07/2025 09:57
beb83d0c-252a-427a-ad04-c09c36dde4bd,minha primeira vez e já estou amando,22/07/2025 09:57
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,"ótima palestra de abertura, tudo muito bem explicado e a equipe é super divertida e intrigante.",22/07/2025 09:58
412301d3-9406-4057-b8ca-f6c63f066ec3,evento extremamente necessário!! adorei com certeza venho nas próximas edições!!,22/07/2025 09:58
0708d7a9-ed61-4c3c-9a29-dd8d999363e3,adorando o wit <3,22/07/2025 09:59
ec75f459-7b9d-4c5e-a6c6-7e8f15491c4b,estou adorando,22/07/2025 09:59
ec75f459-7b9d-4c5e-a6c6-7e8f15491c4b,"palestras muito interessantes, parabens!",22/07/2025 09:59
b276ced5-ff2f-4c66-821d-f7751ca3e6d8,amando a vibe boa do wit!,22/07/2025 10:01
6a932bef-bc47-4979-8361-01f0ca51d5bd,muito legal ver o wit lotado como sempre,22/07/2025 10:01
c8ddbe59-a031-4194-add3-db3071ddcbef,amando a abertura do wit,22/07/2025 10:01
c8ddbe59-a031-4194-add3-db3071ddcbef,meninas na computação! 💜,22/07/2025 10:01
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,meu primeiro wit e estou amando,22/07/2025 10:01
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar no wit foi mais do que participar de um evento — foi se reconhecer em histórias, se inspirar em trajetórias e renovar o compromisso com a transformação que queremos ver na tecnologia.",22/07/2025 10:02
d7cc7b23-8be1-497b-ae4a-23b538971629,evento maravilhoso,22/07/2025 10:02
412301d3-9406-4057-b8ca-f6c63f066ec3,amei a ideia de sorteios e brindes!!!,22/07/2025 10:02
de8d707d-b7b7-43bd-9191-a060a88bb761,"que evento incrível, animada para as próximas atividades 🤩",22/07/2025 10:02
d7cc7b23-8be1-497b-ae4a-23b538971629,parabéns meninas,22/07/2025 10:02
93780366-368f-4230-aa79-3ac4dca0bec6,meu 1° wit 🥰,22/07/2025 10:02
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,minha primeira vez participando do wit! tô animada demaaais pra conhecer os projetos e ver os artigos!,22/07/2025 10:02
69ff38b0-ff54-47d7-bee7-cccd757b6ed4,muito top,22/07/2025 10:02
69ff38b0-ff54-47d7-bee7-cccd757b6ed4,ótimo evento,22/07/2025 10:02
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",22/07/2025 10:04
4270590b-ac53-434d-88eb-f948b87a7247,"muito massa a inclusão que o wit e o meninas digitais proporciona, por mais movimentos assim!",22/07/2025 10:04
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,quero ser revisora do próximo wit e espero vcs no wit 2027 que será em manaus e eu e fabiola somos as coordenadoras do csbc,22/07/2025 10:05
16d2d16a-6864-4d0c-afe3-d87991308ec5,acho essa palestra super necessária,22/07/2025 10:05
cd5e94b1-51c2-4147-a20b-9e1345a0adad,eu ameiii a abertura foi muito legal. eu amo estar nesses ambientes! me dá mais incentivo e entusiasmo em continuar na área,22/07/2025 10:05
4270590b-ac53-434d-88eb-f948b87a7247,"muito bom ver tantas garotas entrando nesse mercado, que esse número continue crescendo!",22/07/2025 10:05
d230aaa6-976f-49bd-bb8a-21d45dec64ab,parabéns sobre a iniciativa!,22/07/2025 10:06
cd5e94b1-51c2-4147-a20b-9e1345a0adad,"a pesquisa sobre cyber segurança eu amooo 
é a área que pretendo seguir com toda certeza !!!",22/07/2025 10:06
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura,22/07/2025 10:06
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar!",22/07/2025 10:07
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,quantas mulheres incríveis em um só lugar!,22/07/2025 10:07
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,muito animada com a gamificação,22/07/2025 10:07
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,acho legal a ideia de mostrar por quem está por trás do evento! é muito bom ver como várias mulheres se esforçaram para fazer esse evento acontecer com a melhor qualidade!!!,22/07/2025 10:07
908bb7b4-88ca-4d4c-83d1-513a4e11c569,estou participando pela primeira vez do wit e estou amandooo! que experiência incrível.,22/07/2025 10:08
5ca22f49-b601-4a36-81af-dba71e05cf97,mulheres maravilhosas! 👏🏻,22/07/2025 10:08
c5f537b2-2d25-4784-88c0-7d434cd447d9,o mermãs digitais já chegou por aqui e estamos amandoooo 💜,22/07/2025 10:08
908bb7b4-88ca-4d4c-83d1-513a4e11c569,csbc arrasou nos brindes. 🥰,22/07/2025 10:08
fa22c635-07b6-4718-9309-2665ad2d1a12,minascoders no wit!💚💚💚,22/07/2025 10:09
c5f537b2-2d25-4784-88c0-7d434cd447d9,"o @mermasdigitais quer conhecer cada um de vocês! então já corre lá no instagram da um oi pra gente, mermã!",22/07/2025 10:09
7afaf882-baa2-47f7-aa69-a15f8ad3452a,"minha primeira vez no csbc, estou super animada com a programação do wit.",22/07/2025 10:10
4a257948-6c61-4d69-b2bf-45561ca9dc96,"parabéns a todas as mulheres que fizeram a evento acontecer, vocês são fundamental na representatividade e no senso de pertencimento da área da computação.",22/07/2025 10:10
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,muito feliz em ver o meninas.comp em peso aqui!!,22/07/2025 10:10
ad354d54-21eb-4c8d-a1a9-d68dbfca98d4,top,22/07/2025 10:10
ad354d54-21eb-4c8d-a1a9-d68dbfca98d4,legal,22/07/2025 10:10
4a257948-6c61-4d69-b2bf-45561ca9dc96,"fico muito feliz de estar presente aqui, gostei bastante da organização de vocês, o aplicativo foi fundamental para isso. <3",22/07/2025 10:11
df0c5066-4918-4384-bf21-9ba7343bf772,que maravilhoso,22/07/2025 10:11
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,super interessante o tema da palestra e o protagonismo das mulheres em ti,22/07/2025 10:12
7ccb708c-e1cd-4901-8baf-d7ab9d4f653c,muito legal!!!!,22/07/2025 10:12
e9b594f7-6309-4190-9032-4dde803e2d6a,muito bom conhecer a história de outras mulheres na área👏👏👏,22/07/2025 10:12
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,show,22/07/2025 10:13
262af184-23c3-4cb4-8231-04a142217d69,muito inspirador! mostra que nós mulheres podemos encontrar nosso lugar na tecnologia.,22/07/2025 10:13
7ccb708c-e1cd-4901-8baf-d7ab9d4f653c,parabéns meninas digitais!!!!,22/07/2025 10:13
4c4af487-81e9-4e3a-8efc-b2d0f1b0b394,as palestras estão incríveis e muito inspiradoras ❤️,22/07/2025 10:13
f37ffdc2-3f64-4b56-a935-4ddecee92321,muito bom poder participar do evento.,22/07/2025 10:13
6a932bef-bc47-4979-8361-01f0ca51d5bd,"palestra sensacional, uma visão pessoal de uma pesquisadora já consolidada",22/07/2025 10:14
170840c4-5893-454a-8433-5854baffd2cc,"quão gratificante é ver a diferença que o wit está fazendo, promovendo uma maior presença de mulheres nas áreas de tecnologia!",22/07/2025 10:14
d90a7533-8a3c-4a1e-9221-2185fdeaec90,energia maravilhosa!!! muito bom ver mulheres na área de ti,22/07/2025 10:14
4c4af487-81e9-4e3a-8efc-b2d0f1b0b394,"estou amando cada momento, tudo perfeito",22/07/2025 10:14
dbfa6a71-9259-4730-8103-7b846417ee6c,"evento muito interessante, ouvir mulher numa área ainda muito masculina é sempre bom!",22/07/2025 10:14
d90a7533-8a3c-4a1e-9221-2185fdeaec90,inspirador ouvir todas as histórias dessas mulheres maravilhosas!,22/07/2025 10:15
b11326b5-9d5e-4d41-9e8a-fe4a2bd9bbb4,"evento inspirador, sensação incrível ver tantas mulheres maravilhosas",22/07/2025 10:15
170840c4-5893-454a-8433-5854baffd2cc,ansiosa pelo fórum meninas digitais!,22/07/2025 10:15
9365cf2e-64e9-49a0-bd3a-0d347b215820,o que ti motivo a seguir a carreira bastante domininada pelo o público masculino?,22/07/2025 10:15
9365cf2e-64e9-49a0-bd3a-0d347b215820,palestra está incrível ❤️❤️,22/07/2025 10:16
e895817d-40ea-4597-a1bb-4bc2cf6cbe8d,é inspirador ver mulheres ocupando cargos tão importantes dentro da tecnologia 🥰✨,22/07/2025 10:16
6f176fc5-6aae-47d6-ada8-2b685bef02b4,muito interessante!!,22/07/2025 10:18
68e4ebcd-71fa-44a0-bd6b-1baa21fbb915,"abertura linda, evento maravilhoso!!",22/07/2025 10:18
6f176fc5-6aae-47d6-ada8-2b685bef02b4,👏🏽👏🏽👏🏽,22/07/2025 10:18
7afaf882-baa2-47f7-aa69-a15f8ad3452a,evento incrível! 😍,22/07/2025 10:19
936c9115-1651-46b3-8773-bdd88526fc2f,"amei a abertura, gamificaçao é tudo",22/07/2025 10:21
936c9115-1651-46b3-8773-bdd88526fc2f,tudo perfeito,22/07/2025 10:23
e9b594f7-6309-4190-9032-4dde803e2d6a,a palestra da professora michelle wangham está maravilhosa !! estou começando a ter interesse e olhar com mais carinho para a área de cibersegurança🩷,22/07/2025 10:23
2c016692-1092-46cc-876c-ed6be5556315,palestra da michele tá massa!! ♥️,22/07/2025 10:23
8e1a9311-52fe-4567-8c58-70f0e2281925,evento incrível !!!,22/07/2025 10:23
3406c3d7-f8f1-4db4-9d3f-06b9d53fa541,❤️❤️❤️,22/07/2025 10:23
8e1a9311-52fe-4567-8c58-70f0e2281925,"ameiiii esse livro !!!
já queroooo",22/07/2025 10:24
e11a154c-a026-49a9-9a71-ad45b5939df8,que evento lindo 🥰,22/07/2025 10:25
53e90d93-f0bd-4877-9279-97a086ab6bc5,abertura muito linda e inspiradora!! sempre bom ver mulheres dominando espaços na educação e tecnologia 💞,22/07/2025 10:25
3406c3d7-f8f1-4db4-9d3f-06b9d53fa541,uma experiência incrível 👏👏👏,22/07/2025 10:26
e11a154c-a026-49a9-9a71-ad45b5939df8,o wit é maravilhoso,22/07/2025 10:26
262af184-23c3-4cb4-8231-04a142217d69,importância de aprender a conciliar as tarefas do trabalho com a maternidade. ambos de fato valem a pena.,22/07/2025 10:26
a57c1135-2ebb-4824-9625-c0bce163dddf,evento incrível 👏🔥,22/07/2025 10:27
a57c1135-2ebb-4824-9625-c0bce163dddf,a gamificação esse ano está incrível,22/07/2025 10:28
da7abf85-cae5-4a1a-83ef-e23b350da886,iniciei agora dentro do evento e estou amando!!,22/07/2025 10:28
da7abf85-cae5-4a1a-83ef-e23b350da886,esta sendo bem animado!,22/07/2025 10:29
f37ffdc2-3f64-4b56-a935-4ddecee92321,muito ver jornadas e desafios das mulheres no meio acadêmico e profissional. exemplos de superação e persistência.,22/07/2025 10:29
67959b7b-0a25-4354-a35e-f5974a549323,é incrível estar rodeada de mulheres inspiradoras 🤩,22/07/2025 10:30
4b19c21f-0936-4c69-ae25-18f84c9119a3,"é incrível conhecer a história de tantas mulheres na area, é inspirador e me estimula a crescer em ti",22/07/2025 10:31
00da94da-eaf9-4790-a6fe-fe7b33931c70,"é tão importante esse compartilhamento da michelle, mostrando que não é fácil construir uma carreira de sucesso, mas é possível e uma realidade próxima de nós!",22/07/2025 10:31
5ca22f49-b601-4a36-81af-dba71e05cf97,michelle você é uma inspiração! 🤩👏🏻,22/07/2025 10:31
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,"a palestra da michelle wangham foi muito boa, a oratória dela prende a atenção e sua experiência de vida conseguiu me inspirar a crescer muito mais.",22/07/2025 10:32
adec314d-1120-4e55-985a-8bdbbf48be55,"a trajetória de michelle é, de fato, inspiradora!",22/07/2025 10:32
d045f926-cf41-4757-ae96-89594f6e4870,to amando participar! 💜,22/07/2025 10:32
6e668e80-7eda-405e-814d-d4b1dd4538c3,uma palestra realmente muito inspiradora!,22/07/2025 10:32
d045f926-cf41-4757-ae96-89594f6e4870,conheça o mermãs digitais 💜 @mermasdigitais,22/07/2025 10:32
934ac1e9-8a9e-4865-977f-b22e4bbce84e,excelente palestra! muito interessante entender a vida da professora e como toda a sua carreira foi construída,22/07/2025 10:34
849079b5-58a9-4408-b5d9-528fed2b6ac7,tudo muito lindo!!! 🥹💗💗💗,22/07/2025 10:35
849079b5-58a9-4408-b5d9-528fed2b6ac7,melhor evento do csbc 💗💗💗💗💗,22/07/2025 10:35
599e5dc6-fa67-4845-a44e-539c244937fc,que evento incrível!!!,22/07/2025 10:35
b787555f-cd18-4a0b-9e20-493282185ddd,relatos de experiência por mulheres são sempre mais tocantes,22/07/2025 10:35
560003d3-5b59-481c-85d2-838ef984b466,muito importante para incentivar as mulheres na área da tecnologia.,22/07/2025 10:35
e6d477bf-b603-42a7-985e-ac84356103b9,"que grande mulher a michelle é! me sinto inspirada em ver como outras mulheres tiveram/têm o mesmo sentimento que eu e que elas chegaram lá, assim como quero chegar um dia também! 💜💜",22/07/2025 10:35
c01cfc13-c80c-4c86-872a-da81361b3339,amei a palestra de abertura! muito inspirador ver de perto a história da doutora!,22/07/2025 10:36
8f5325ba-18dd-4ae4-b9e8-c669f82c4571,muito boa,22/07/2025 10:36
c55ff755-bd00-4af8-b6ed-ed43007446b3,muito bacana as pulseirinhas de cada região do brasil!,22/07/2025 10:36
3ad87374-5d6b-41e4-a901-00435a3f8c6e,a palestra apresentada realmente foi inspiradora e de um valor surpreendente! gostei muito de presenciar esse evento!,22/07/2025 10:36
8f5325ba-18dd-4ae4-b9e8-c669f82c4571,me sinto confortavel e representada,22/07/2025 10:36
6e668e80-7eda-405e-814d-d4b1dd4538c3,muito legal conhecer uma mulher tão forte e inteligente!!,22/07/2025 10:36
560003d3-5b59-481c-85d2-838ef984b466,inspiração para que outros sigam no propósito!,22/07/2025 10:36
3ecdcc60-1292-4833-9c99-08066e0a6e86,palestra de abertura foi muito inspiradora! <3,22/07/2025 10:37
342d6dfe-f757-4730-97bc-246b444e6474,"queria falar sobre a inspiração que é michelle wangham e o quanto foi lindo de conhecer sua história pessoal, acadêmica e profissional. uma lição de como nós mulheres podemos seguir nossos sonhos!",22/07/2025 10:37
4b19c21f-0936-4c69-ae25-18f84c9119a3,é bom ter uma história tao linda pra se espelhar que nem a da michele,22/07/2025 10:37
f6bf24cf-734d-4f0e-a735-4a08d53c2b85,história de vida inspiradora!,22/07/2025 10:37
c55ff755-bd00-4af8-b6ed-ed43007446b3,muito querida a mirella entregando marca-páginas pra gente!,22/07/2025 10:38
050da8f6-fd58-42b6-8066-82fb42c0fa4b,as recepcionistas que estão tomando conta das inscrições são muito tranquilas e estão de parabéns,22/07/2025 10:38
3ad87374-5d6b-41e4-a901-00435a3f8c6e,obrigada a michelle por ter aceito esse convite! a história dela foi linda de escutar e poder ouvir sobre seu percurso e sua trajetória para chegar até aqui foi muito bom!,22/07/2025 10:38
a24b5393-ee39-4272-8f84-7f95fa794341,michelle inspirando mulheres... muito bom! 🤩,22/07/2025 10:38
050da8f6-fd58-42b6-8066-82fb42c0fa4b,"o evento é bem organizado e tem grande atração a qualquer um que passe, chamando a atenção",22/07/2025 10:38
b11326b5-9d5e-4d41-9e8a-fe4a2bd9bbb4,conhecer a história e trajetória das mulheres importantes é essencial para o crescimento individual,22/07/2025 10:38
575e397c-e7d3-4587-9a09-46e3df1ccdf4,"história de vida inspiradora da michelle, muitas vezes a família pesa nas nossas decisões. parabéns!",22/07/2025 10:38
3e429152-f456-498f-9abb-459b5388f42d,palestra incrível sobre a trajetória de uma mulher em cargo de liderança!!,22/07/2025 10:38
342d6dfe-f757-4730-97bc-246b444e6474,uma oportunidade incrível de participar da edição wit de 2025 ⭐️,22/07/2025 10:39
3e429152-f456-498f-9abb-459b5388f42d,evento lindo e muito bem organizado! muito feliz em prestigiar as palestrantes e pessoas autoras,22/07/2025 10:39
18539e11-61c0-49b8-9bc8-f628af7e8159,muito bom ouvir a experiência de vida da michelle,22/07/2025 10:39
a6584b5b-822e-4c85-be5b-e91db87dc16e,palestra de michelle wangham é uma inspiração para todas as mulheres.,22/07/2025 10:39
192b32a5-e58c-4098-9904-78bda4615134,ótima palestra,22/07/2025 10:40
a31c1cb8-e9bd-4faa-854e-3b114bbb62ed,palestra maravilhosa! muito bom estar presente,22/07/2025 10:40
192b32a5-e58c-4098-9904-78bda4615134,não vejo a hora da próxima,22/07/2025 10:40
0708d7a9-ed61-4c3c-9a29-dd8d999363e3,belíssima fala da michele.,22/07/2025 10:40
a31c1cb8-e9bd-4faa-854e-3b114bbb62ed,não vejo a hora de escutar o fórum das meninas digitais!!,22/07/2025 10:40
3ecdcc60-1292-4833-9c99-08066e0a6e86,cunhantã digital em maceió! 😄,22/07/2025 10:41
d02b6ff0-dcbf-4984-a11b-da3709dfc569,"ações importantíssimas, parabéns.",22/07/2025 10:41
d02b6ff0-dcbf-4984-a11b-da3709dfc569,já quero meus selos!!,22/07/2025 10:42
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,a palestra da michelle wangham é inspiradora!! conhecer histórias e saber toda a dedicação de mulheres incríveis hoje em dia me inspira a continuar e querer ir crescendo cada vez mais igual elas!!,22/07/2025 10:43
f2d72cbf-07dd-4592-9ed1-c74275748cb7,"ótima recepção, as meninas são muito educadas e gentis.",22/07/2025 10:43
1130f3f4-1e33-482d-a327-745c63f1516b,ufs presente aqui,22/07/2025 10:43
2d008ba4-8834-40ce-9c01-468181373d96,"muito boa a palestra da prof michele. incentiva bastante, aquece o coração ♥️",22/07/2025 10:43
1e2c4536-db1c-40f6-a514-717da937138d,"a organização do evento está incrível, as moças da recepção são calorosas e explicam tudo muito bem.",22/07/2025 10:44
92884dd4-6d85-4439-b8ed-855f735d689a,ufs presente!!! projeto codequeens,22/07/2025 10:44
f2d72cbf-07dd-4592-9ed1-c74275748cb7,ótima oportunidade para se conectar com outras meninas e conhecer projetos de todo o brasil.,22/07/2025 10:44
92884dd4-6d85-4439-b8ed-855f735d689a,muito bom,22/07/2025 10:44
1130f3f4-1e33-482d-a327-745c63f1516b,animada para as próximas palestras!!!!!,22/07/2025 10:44
5bb974d7-0d42-4ba7-b115-6f2821843ecc,"excelente palestra! parabéns, michelle!",22/07/2025 10:44
1e2c4536-db1c-40f6-a514-717da937138d,"amo o fato de termos um evento só nosso, só das mulheres. não somos maioria, mas somos unidas.",22/07/2025 10:44
97bb898c-af32-4429-b56c-5914309a8775,bom demais ver os resultados do meninas digitais e o impacto no país todinhos 💖,22/07/2025 10:44
b787555f-cd18-4a0b-9e20-493282185ddd,os projetos acadêmicos deveriam ser mais valorizados no nosso país. é enriquecedor.,22/07/2025 10:47
cf343695-2367-4236-b0ab-3c72d8222639,achei muito interessante acompanhar a experiência de sucesso de uma mulher na computação. palestra muito motivadora.,22/07/2025 10:52
cf343695-2367-4236-b0ab-3c72d8222639,motivadora.,22/07/2025 10:52
e4d0c31c-1009-4bce-8c78-8d6c2d7dce89,"palestra muito dinamica e boa, muito explicativa e entusiasmante",22/07/2025 10:52
65ac7c8a-1f08-47ab-bf2a-1f556fe3852c,muito importante este trabalho de incentivar a presença de mulheres na computação,22/07/2025 10:52
e4d0c31c-1009-4bce-8c78-8d6c2d7dce89,"gosto muito da ideia dos desafios, estimula a presença e participação mo evento",22/07/2025 10:53
65ac7c8a-1f08-47ab-bf2a-1f556fe3852c,parabéns a todas envolvidas,22/07/2025 10:54
79625db1-c0bb-49d6-aa29-76fd1dc284e8,"sempre gostei muito da área de inovação, achei legal a parte de ter no csbc essa inovação! muito bom para as meninas conhecerem esses movimentos?",22/07/2025 10:55
2588a076-a47e-443c-a9f3-22057a7980f9,"palestras extremamente necessárias e inspiradoras, especialmente para mulheres que, até pouco tempo, nao tinham espaço.",22/07/2025 10:58
c04b5ba6-0939-443f-93db-54b15820e804,muito inspirador conhecer a trajetória de outras mulheres na pesquisa 💖💖,22/07/2025 10:59
266dfd00-4b9e-447c-910d-0deebdb32501,tantos relatos lindos sendo compartilhados. momento inspirador!,22/07/2025 11:00
2588a076-a47e-443c-a9f3-22057a7980f9,palestras interativas e as palestrantes estão sempre preparadas para responder as perguntas e dúvidas.,22/07/2025 11:00
266dfd00-4b9e-447c-910d-0deebdb32501,iniciativa muito importante e necessária para incluir e diversificar a área da tecnologia!,22/07/2025 11:01
fcf388a5-374c-4162-9e8a-44339d70be4a,"foi uma linda abertura do wit, espero que o projeto possa de expandir cada vez mais!",22/07/2025 11:03
5671ae6e-ba88-4fbb-b2dd-5c0c4e65ce60,vai oi meninas!!!,22/07/2025 11:06
5671ae6e-ba88-4fbb-b2dd-5c0c4e65ce60,oi meninas sz tecnologia,22/07/2025 11:06
f915d53b-56f7-4440-b578-d9bed05126be,evento lindo!!,22/07/2025 11:07
70b31d7a-c046-4859-9881-10574c9611c1,esse é um evento muito importante!,22/07/2025 11:07
