participante,comentário
5f8de493-ef20-420b-89bc-09e886b26f67,bom
5f8de493-ef20-420b-89bc-09e886b26f67,ótimo
3e72f254-acab-4aec-ad73-bf9dff9c21ad,muito bom o coffe break
4a38eef3-4375-45b4-b386-649cb518c20b,"coffee break ótimo, to de bucho cheio"
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,ja ta podendo almossar
86cb75a4-c315-4d9a-9289-8ea110fc8799,muito legal
86cb75a4-c315-4d9a-9289-8ea110fc8799,assunto interessante
8f4c1ec8-e5ed-4ce2-90f1-84bbab673805,secom ta boa demais
8f4c1ec8-e5ed-4ce2-90f1-84bbab673805,ihc é uma area super interessante
8f4c1ec8-e5ed-4ce2-90f1-84bbab673805,ihc é uma area super interessante
47cacf3f-e0f2-421b-a645-5e0efd6cc615,"feliz demais em ter vindo varado de fome pra essa abertura, que coffe break"
a9d36446-c85c-43d3-bccf-8084d2231951,apresentação de ia muito boa
03164614-b683-45b1-98f0-7179e65cd4ed,queria mais atenção do fotógrafo
7d582411-e617-4105-8edf-bca7ee066eca,gostei dos temas das palestras
43aca24c-d788-497e-8521-06df728eeaf8,animado pra gamejam
99899b5a-eb3d-4d67-a64f-a143f824a709,"a ""pressão por lucros"" não impede a aplicação da ética apenas na ia – impede em tudo"
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,ótimo evento
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,a nova interface
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,funcionalidades do my mobi conf ficaram ótimas
ef513315-04b4-49b0-ae60-0cfd18608054,muito interessante
37ec55d9-b848-47bd-9a33-f64afd2dd867,mto bom
37ec55d9-b848-47bd-9a33-f64afd2dd867,ótima
5bc436a4-ec67-4216-87a7-d9152877d21f,adorei a palestra
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,seria legal se tivesse uma aba pra ver todos os comentários  :(
e2b6d403-470e-4752-8767-48575bb10c67,seria bom ter a opção de ler todos os comentários
66333d64-e1a9-407d-b5ec-e97640fc0bfc,"gostei muito da palestra, esse tema da ética nas ia's é muito relevante, não só pra nós estudantes,"
66333d64-e1a9-407d-b5ec-e97640fc0bfc,também pra sociedade
daac9055-17a0-4775-bb21-9c0add9d45ec,palestra muito interessante
43aca24c-d788-497e-8521-06df728eeaf8,coffee break de respeito viu
b843c3db-fc8f-45a6-8322-19b87391fa20,edtou achando o evento incrível
b843c3db-fc8f-45a6-8322-19b87391fa20,por mais secoms assim
8b532002-32a9-47b8-a068-f68ebed037cd,o auditório tá meio frio
8b532002-32a9-47b8-a068-f68ebed037cd,"se pá, tlg"
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,muito bom
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,animado para a próxima palestra
b843c3db-fc8f-45a6-8322-19b87391fa20,vamos manter o foco
b843c3db-fc8f-45a6-8322-19b87391fa20,"a ética sempre que utilizarmos ias, evitando sempre deixar que ela faça tudo por nós"
2841ae4b-ef6a-4661-94a3-9777a70ec034,esse coffee break é covardia
2841ae4b-ef6a-4661-94a3-9777a70ec034,camisa legal
45025e25-714c-447c-ad00-3f2880882d2b,as palestras tão boa
45025e25-714c-447c-ad00-3f2880882d2b,esse coffe break é covardia
45025e25-714c-447c-ad00-3f2880882d2b,alguém sabe qual o shampoo o nacif usa
32724cee-7c33-4b98-a90c-4d0203f9d84a,no futuro a ia poderá tira o trabalho em certas áreas da computação
32724cee-7c33-4b98-a90c-4d0203f9d84a,"qual séria a próxima geração da ia , se a de hoje é a ia genérativa"
9764ca16-8169-496a-86f2-8b5413a49083,muito bom
9764ca16-8169-496a-86f2-8b5413a49083,gostei muito da organização do evento
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,foi muita boa
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,adorei a organização da secom
548430cf-9b95-4cde-93c2-547a80cdd20e,evento muito bem organizado
548430cf-9b95-4cde-93c2-547a80cdd20e,muito bom
66333d64-e1a9-407d-b5ec-e97640fc0bfc,o ar-condicionado está muito gelado
7064b0be-2b69-4b72-b749-c7057e244714,palestra muito interessante
667d742e-3fdf-457b-b63c-7a8befc9bee4,o coffee break tava muito bom
c922b921-1305-4fe3-b76c-649887d97eb4,muito bem organizado o evento
c922b921-1305-4fe3-b76c-649887d97eb4,a palestra foi muito boa
c922b921-1305-4fe3-b76c-649887d97eb4,deveriam ler mais perguntas
667d742e-3fdf-457b-b63c-7a8befc9bee4,animado para a palestra das 14 horas
47cacf3f-e0f2-421b-a645-5e0efd6cc615,rapaziada muito linda do mymobiconf
0b3e0f11-e393-4fb7-9c3b-1fa8ad9b3176,palestras mt boas
9aa2b218-1ce5-4019-8e59-cefd44bc9866,animado para o primeiro dia
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia um abadá do mymobconf😭😭😭😭
9aa2b218-1ce5-4019-8e59-cefd44bc9866,vamos trojan
d0881343-b903-4573-aee3-c821f2e201de,as palestras estão muito boas
ef513315-04b4-49b0-ae60-0cfd18608054,muito legal
d51c3bbb-185b-4a34-848a-607621bd7cc2,muito bom
91c06250-9999-4019-95bb-12b3cfebb7ca,"muito bacana ter várias pessoas que já se formaram, aqui novamente na
ufv"
91c06250-9999-4019-95bb-12b3cfebb7ca,muito bacana
d0881343-b903-4573-aee3-c821f2e201de,ansioso para ver como vai ser a maratona
daac9055-17a0-4775-bb21-9c0add9d45ec,muito legal o tema da mesa redonda
3e72f254-acab-4aec-ad73-bf9dff9c21ad,ansiosa pela maratona
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,gostei muito do desenvolvimento do app nesses 3 anos que conheci
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho"
9cd6db67-067e-45e7-8db9-db3f3a10afc6,"o tema escolhido caiu direitinho, pois nós que estamos preste a formar temos essas dúvidas"
d51c3bbb-185b-4a34-848a-607621bd7cc2,muito bom essa mesa redonda
bd6291a1-9381-4303-8619-d1612876e850,palestra muito educativa para entender melhor a visão de dentro do mercado de trabalho
98d481f0-cfc5-4976-9bfb-61e179be6958,"o ambiente do auditório está muito bom, os ar condicionados ajudaram muito para deixa fresco"
98d481f0-cfc5-4976-9bfb-61e179be6958,"confortável, facilitando o foco nos eventos"
e06ffaec-3d0b-45f5-85c5-94027d692f0f,estou gostando muito das palestras
e06ffaec-3d0b-45f5-85c5-94027d692f0f,achei a alexandra muito foda
5c812191-4a89-40c2-ad20-11d17bed69a1,"o início com o aplicativo foi complicado,"
5c812191-4a89-40c2-ad20-11d17bed69a1,no geral foi tranquilo
5c812191-4a89-40c2-ad20-11d17bed69a1,"roda de conversa muito bacana, foi um tanto quanto diferente ver pessoas que se formaram no mesmo lugar que estou"
bd6291a1-9381-4303-8619-d1612876e850,importante para entender questões específicas necessárias que não tinha pensado serem importantes no mercado
a5551753-5cda-4641-bc94-7d92707ef19c,provavelmente a palestra com ex-alunos no mercado de trabalho é um dos melhores momentos dessa secom
a5551753-5cda-4641-bc94-7d92707ef19c,um minicurso com soft skills seria bem interessante para uma próxima secom
0b3e0f11-e393-4fb7-9c3b-1fa8ad9b3176,legal
5bc436a4-ec67-4216-87a7-d9152877d21f,mesa redonda foi mt legal
ab7efb84-6060-477e-a39e-ebd3395ed050,muito bom
ab7efb84-6060-477e-a39e-ebd3395ed050,muito relevante
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,myito bo
8b532002-32a9-47b8-a068-f68ebed037cd,mudaram a temperatura
8b532002-32a9-47b8-a068-f68ebed037cd,ficou bom
99899b5a-eb3d-4d67-a64f-a143f824a709,incrível primeiro dia
99899b5a-eb3d-4d67-a64f-a143f824a709,ansioso pelos próximos dias
02af807d-7123-444e-b61e-89eaf92be60f,foi incrível
02af807d-7123-444e-b61e-89eaf92be60f,ótimo primeiro dia
c0f15389-3383-4e94-b413-2fd78bcd0b68,muitop
c0f15389-3383-4e94-b413-2fd78bcd0b68,.
7064b0be-2b69-4b72-b749-c7057e244714,amei a roda de conversa
99899b5a-eb3d-4d67-a64f-a143f824a709,game jam no hype
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,boa sorte na maratona
12c8e1ec-c662-415a-b106-b64ccb7ece3f,faltou o check-in para a gamejam
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal ter 2 dias para realização da gamejam esse ano
12c8e1ec-c662-415a-b106-b64ccb7ece3f,👏
226440c8-ce0c-42b8-a37b-8435e915955d,a maratona foi ótima
86cb75a4-c315-4d9a-9289-8ea110fc8799,ansioso pro coffee break
9aa2b218-1ce5-4019-8e59-cefd44bc9866,eu quero a bolsa
86cb75a4-c315-4d9a-9289-8ea110fc8799,bom vídeo do cifrasclub
86cb75a4-c315-4d9a-9289-8ea110fc8799,boa quinta
9aa2b218-1ce5-4019-8e59-cefd44bc9866,"obrigado gláucia, pela linda festa"
9aa2b218-1ce5-4019-8e59-cefd44bc9866,vamos trojan
548430cf-9b95-4cde-93c2-547a80cdd20e,a maratona foi ótima
548430cf-9b95-4cde-93c2-547a80cdd20e,evento incrível
548430cf-9b95-4cde-93c2-547a80cdd20e,evento topp
99899b5a-eb3d-4d67-a64f-a143f824a709,coffe break da game jam foi o melhor 😋
71ec2c5f-212f-479f-bcb4-75bef259f870,"muitos participantes não vão conseguir chegar pra abertura, fila do ru está muito lenta"
71ec2c5f-212f-479f-bcb4-75bef259f870,ainda estamos presos aqui
070db213-148d-45f2-8d8a-a0533d8ed2b1,muito bom esse evento
ef513315-04b4-49b0-ae60-0cfd18608054,muito divertido a maratona
47cacf3f-e0f2-421b-a645-5e0efd6cc615,fila do ru tirando um checkin meu
070db213-148d-45f2-8d8a-a0533d8ed2b1,grandes espectativas
7d582411-e617-4105-8edf-bca7ee066eca,gostei bastante da maratona
43aca24c-d788-497e-8521-06df728eeaf8,"a maratona foi muito boa, bem concorrido"
43aca24c-d788-497e-8521-06df728eeaf8,não deu pra almoçar pós maratona
43aca24c-d788-497e-8521-06df728eeaf8,vamo q vamo
15ae4086-4952-4aac-a16b-5c2852e5e523,"boa tarde, gente"
a9d36446-c85c-43d3-bccf-8084d2231951,apresentação da setapp muito boa
43aca24c-d788-497e-8521-06df728eeaf8,a todo vapor na gamejam
15ae4086-4952-4aac-a16b-5c2852e5e523,os eventos estão bem legais até agora
a9d36446-c85c-43d3-bccf-8084d2231951,fiquei muito interessado pela empresa júnior setapp
15ae4086-4952-4aac-a16b-5c2852e5e523,esperando pelo próximo cofee-break já
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,a maratona foi legal dmss
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,queria mesa redonda todos os dias :(
40e23675-8f02-4354-a49c-3a3e0f6c2687,"palestras são muito boas, criativas"
40e23675-8f02-4354-a49c-3a3e0f6c2687,interativas
40e23675-8f02-4354-a49c-3a3e0f6c2687,realmente são muito importantes para a formação para o mercado de trabalho
19f49226-5a60-463b-85d3-ac562e4eddc4,gamejam fluindo demais
19f49226-5a60-463b-85d3-ac562e4eddc4,triste por perder algumas palestras
32724cee-7c33-4b98-a90c-4d0203f9d84a,como faço para participar da empresa junior
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,setapp maior do brasil
19f49226-5a60-463b-85d3-ac562e4eddc4,espero que a maratona não tenha uns prêmios tão melhores que a gamejam dessa vez hahahaha
32724cee-7c33-4b98-a90c-4d0203f9d84a,como empresa junior contribui para minha carreira profissional
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia camisa da setapp😋
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,coffe break muito bom
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,ótima programação
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia camisa de
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,-sports
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,hoje está mais vazio :(
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,espero que a internet funcione
9ac1b61d-2b3d-4c00-9a56-6a31d2be082b,vai ter picolé hoje também
e2b6d403-470e-4752-8767-48575bb10c67,maratona foi dahora
32724cee-7c33-4b98-a90c-4d0203f9d84a,tá sendo bacana participar desse evento
19f49226-5a60-463b-85d3-ac562e4eddc4,"o formato de mesa redonda ontem foi bem legal, seria interessante ter mais vezes"
e2b6d403-470e-4752-8767-48575bb10c67,podia ter mais atrações como a mesa redonda
f436cb6f-b331-4a0c-ba41-567a1f74ef05,o pão de queijo do coffee break esrta muito bom
e2b6d403-470e-4752-8767-48575bb10c67,liberar pra ler todos os comentarios
5c812191-4a89-40c2-ad20-11d17bed69a1,muito produtivo as palestras
5c812191-4a89-40c2-ad20-11d17bed69a1,fiz muito network com as pessoas
5c812191-4a89-40c2-ad20-11d17bed69a1,aprendi um pouco sobre possibilidades para meu futuro
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,amanda a secom
700f7b0c-46a5-4f88-b605-7015d0660e2b,esperando o coffe break
700f7b0c-46a5-4f88-b605-7015d0660e2b,palestras muito boas
ad08e116-810d-4533-a7c6-9782fcb55f6d,ótimo evento
f436cb6f-b331-4a0c-ba41-567a1f74ef05,parece muito interessante essa empresa unior setapp
02af807d-7123-444e-b61e-89eaf92be60f,fui amassado na maratona
c9e2374f-bf33-4003-b871-6ecb5ae22aee,doido pra ver as palestras
02af807d-7123-444e-b61e-89eaf92be60f,ansioso pelas palestras de tarde
f436cb6f-b331-4a0c-ba41-567a1f74ef05,felicidades
f436cb6f-b331-4a0c-ba41-567a1f74ef05,boa sorte pro pessoal da setapp
f436cb6f-b331-4a0c-ba41-567a1f74ef05,ansioso pelos minucursos
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,o app melhorou mto de ano passado pra esse ano
45025e25-714c-447c-ad00-3f2880882d2b,ansioso pelo coffe break
45025e25-714c-447c-ad00-3f2880882d2b,ótimas palestras
02af807d-7123-444e-b61e-89eaf92be60f,ansioso pelos jogos da gamejam
45025e25-714c-447c-ad00-3f2880882d2b,ótimas palestras
5bc436a4-ec67-4216-87a7-d9152877d21f,tô gostando mt das palestras
5bc436a4-ec67-4216-87a7-d9152877d21f,a maratona foi mt divertida
5bc436a4-ec67-4216-87a7-d9152877d21f,adorando
96a82185-2b89-4f00-9bf9-ab5b2fa5c8ce,"syndle sempre presente na secom, muito boa a palestra"
d0881343-b903-4573-aee3-c821f2e201de,"muito boa a maratona, gostei das questões"
d0881343-b903-4573-aee3-c821f2e201de,muito boa a palestra da setup
d0881343-b903-4573-aee3-c821f2e201de,muito boa a palestra da sydle
5f8de493-ef20-420b-89bc-09e886b26f67,otimo
5f8de493-ef20-420b-89bc-09e886b26f67,incrivel
b843c3db-fc8f-45a6-8322-19b87391fa20,a maratona de programação desse ano vai ser acirrada
b843c3db-fc8f-45a6-8322-19b87391fa20,ansioso com o resultado
b843c3db-fc8f-45a6-8322-19b87391fa20,a maratona de programação desse ano foi incrível
b843c3db-fc8f-45a6-8322-19b87391fa20,"sydle sempre marcando presença, amo ❤"
61070f87-e362-47bc-b690-aa075a9fd9b7,gostei muito da palestra
a9d36446-c85c-43d3-bccf-8084d2231951,não entendi muito da apresentação da sydle
d13dce39-51a4-4170-8b39-f06cb1f6adf6,ansiosa para o coffeee break
d13dce39-51a4-4170-8b39-f06cb1f6adf6,palestra muito interessante
3e72f254-acab-4aec-ad73-bf9dff9c21ad,ótima palestra
3e72f254-acab-4aec-ad73-bf9dff9c21ad,assunto muito interessante
d13dce39-51a4-4170-8b39-f06cb1f6adf6,quero muito ganhar algum sorteio
7568d4e3-7c42-4c07-9246-161f8f144017,cada coffe break uma surpresa
7568d4e3-7c42-4c07-9246-161f8f144017,mais cheio do que no ano passado
9cd6db67-067e-45e7-8db9-db3f3a10afc6,a palestra ontem me ajudou a procurar estágio
7568d4e3-7c42-4c07-9246-161f8f144017,ansioso para a segunda palestra
37ec55d9-b848-47bd-9a33-f64afd2dd867,ótimo
37ec55d9-b848-47bd-9a33-f64afd2dd867,mto bom
37ec55d9-b848-47bd-9a33-f64afd2dd867,parabéns
ad08e116-810d-4533-a7c6-9782fcb55f6d,sydle
9cd6db67-067e-45e7-8db9-db3f3a10afc6,as palestras são legais
96a82185-2b89-4f00-9bf9-ab5b2fa5c8ce,palestra sydle one a melhor da secom
9cd6db67-067e-45e7-8db9-db3f3a10afc6,achei interessante a solução da sydle
96a82185-2b89-4f00-9bf9-ab5b2fa5c8ce,maratona de programação hoje estava bem difícil
667d742e-3fdf-457b-b63c-7a8befc9bee4,a apresentação da setapp foi muito boa
667d742e-3fdf-457b-b63c-7a8befc9bee4,a palestra da sydle foi super relevante
96a82185-2b89-4f00-9bf9-ab5b2fa5c8ce,campeonato de esports tá muito bem feita
7d582411-e617-4105-8edf-bca7ee066eca,a palestras estão muito boas
96a82185-2b89-4f00-9bf9-ab5b2fa5c8ce,"campeonato de esports poderia ter mais times, ano que vem podem aumentar a quantidade de times"
9cd6db67-067e-45e7-8db9-db3f3a10afc6,quero entrar na sydle kjkkk
ef513315-04b4-49b0-ae60-0cfd18608054,diferente
f569f9d9-9281-4405-a4aa-084b33a9be5a,muito boa
7d582411-e617-4105-8edf-bca7ee066eca,tá muito frio os ar condicionado
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,amo o cifra club
c0f15389-3383-4e94-b413-2fd78bcd0b68,excelente sydle one
c0f15389-3383-4e94-b413-2fd78bcd0b68,geral tem gato
c0f15389-3383-4e94-b413-2fd78bcd0b68,700 horas de rocket league mds
ad08e116-810d-4533-a7c6-9782fcb55f6d,adote um gato
ad08e116-810d-4533-a7c6-9782fcb55f6d,todo mundo na studio sol tem um gatinho
24c725a4-20aa-4ce4-9d18-b194d3bdd5be,o evento está bastante legal
24c725a4-20aa-4ce4-9d18-b194d3bdd5be,🎉🎉
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,muito bom a plaestra
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,muito bom a palestra
e20a2ffa-39db-4246-8766-1c3a6ddc4c7e,conteúdo muito interessante
4a38eef3-4375-45b4-b386-649cb518c20b,"gente, qual é o shampoo que o patr- rodrigo usa"
913cf695-2ce7-40c2-a996-ce8bff7ee32c,o evento está incrível
913cf695-2ce7-40c2-a996-ce8bff7ee32c,amando as palestras
a5551753-5cda-4641-bc94-7d92707ef19c,os goats da studio sol & letras novamente
913cf695-2ce7-40c2-a996-ce8bff7ee32c,tudo muito bem organizado
913cf695-2ce7-40c2-a996-ce8bff7ee32c,evento mais esperado do ano
913cf695-2ce7-40c2-a996-ce8bff7ee32c,parabéns para a gláucia
913cf695-2ce7-40c2-a996-ce8bff7ee32c,"comissão organizadora, tudo perteito"
a5551753-5cda-4641-bc94-7d92707ef19c,poderia ter mais palestras da tarde da indústria
ef513315-04b4-49b0-ae60-0cfd18608054,legal
98d481f0-cfc5-4976-9bfb-61e179be6958,maratona de programação apesar de difícil foi muito divertida
c922b921-1305-4fe3-b76c-649887d97eb4,vocês costumam trabalhar mais com melhorias em projetos antigos ou com implementação de novos projetos
c922b921-1305-4fe3-b76c-649887d97eb4,com a implementação das ias dentro da empresa vocês acham que a contratação de estagiário/juniores diminuiu
47cacf3f-e0f2-421b-a645-5e0efd6cc615,pessoal boca suja do studio sol
c922b921-1305-4fe3-b76c-649887d97eb4,pra entrar na empresa você tem que entender de música
070db213-148d-45f2-8d8a-a0533d8ed2b1,estou amando as palestras
98d481f0-cfc5-4976-9bfb-61e179be6958,muito bom os palestrantes falarem sobre  sua jornada academia até conseguirem entrar no mercado de trabalho
4a38eef3-4375-45b4-b386-649cb518c20b,ai q fominha
070db213-148d-45f2-8d8a-a0533d8ed2b1,time da studiosol nos
070db213-148d-45f2-8d8a-a0533d8ed2b1,-esportes da secom quando
3e72f254-acab-4aec-ad73-bf9dff9c21ad,muito legal a palestra
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,que formulário foi esse uai
91c06250-9999-4019-95bb-12b3cfebb7ca,muito legal as apresentações de hoje
91c06250-9999-4019-95bb-12b3cfebb7ca,coffee break sempre superando as expectativas
a5551753-5cda-4641-bc94-7d92707ef19c,voto pro coffee break livre permanecer
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,os slides serão disponibilizados
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,vem promeu time de valorant
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,quero trabalhar na levty
24c725a4-20aa-4ce4-9d18-b194d3bdd5be,😁
daac9055-17a0-4775-bb21-9c0add9d45ec,as palestras estão muito legal
a6ec5f50-aa66-4ad4-8b97-10a6f9eacaad,queria o sorteio do studiosol :(
34c8353a-bcb4-4553-8c2d-fac1c5311ccd,coffee-break excelente
daac9055-17a0-4775-bb21-9c0add9d45ec,a studio sol tem as melhores palestras
daac9055-17a0-4775-bb21-9c0add9d45ec,a maratona é a melhor parte do evento
4a38eef3-4375-45b4-b386-649cb518c20b,levty é goat
c9e2374f-bf33-4003-b871-6ecb5ae22aee,quero brindes hem 🤭
c9e2374f-bf33-4003-b871-6ecb5ae22aee,secom tá bom de mais
34c8353a-bcb4-4553-8c2d-fac1c5311ccd,ótima secom
98d481f0-cfc5-4976-9bfb-61e179be6958,palestra da secon tão muito boas
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,o coffe break estava ótimo
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,queria que tivesse mais tempo para perguntas nas palestras
3d6d0870-4d2b-4b19-942d-fa56cf8cbad9,adorei o tema de capivaras na maratona de programação
7064b0be-2b69-4b72-b749-c7057e244714,adorei a palestra do studiosol & letras
34c8353a-bcb4-4553-8c2d-fac1c5311ccd,bolsa da sydle já virou tradição
34c8353a-bcb4-4553-8c2d-fac1c5311ccd,muito bem organizado a tarde da indústria
667d742e-3fdf-457b-b63c-7a8befc9bee4,o coffee break foi ótimo
34c8353a-bcb4-4553-8c2d-fac1c5311ccd,muito bom
226440c8-ce0c-42b8-a37b-8435e915955d,o bolinho do coffe break estava uma delícia
2841ae4b-ef6a-4661-94a3-9777a70ec034,"palestra do studio sol muito bom, tema muito relevante"
2841ae4b-ef6a-4661-94a3-9777a70ec034,a logística de quando encerra uma palestra
2841ae4b-ef6a-4661-94a3-9777a70ec034,"inicia outra ter que ler que sair do local onde está para escanear o qrcode, gera muita confusão"
070db213-148d-45f2-8d8a-a0533d8ed2b1,muito bom
2841ae4b-ef6a-4661-94a3-9777a70ec034,palestra da levty muito boa
7064b0be-2b69-4b72-b749-c7057e244714,bacana dms a palestra da levty
d51c3bbb-185b-4a34-848a-607621bd7cc2,muito bom
d51c3bbb-185b-4a34-848a-607621bd7cc2,top
d51c3bbb-185b-4a34-848a-607621bd7cc2,legal demais
dffbacba-f52d-4fe2-b24e-52d4795954d5,muita boa palestra
dffbacba-f52d-4fe2-b24e-52d4795954d5,incrivel
dffbacba-f52d-4fe2-b24e-52d4795954d5,muito massa a secom
dffbacba-f52d-4fe2-b24e-52d4795954d5,palestras de peso
dffbacba-f52d-4fe2-b24e-52d4795954d5,muito conhecimento compartilhado
226440c8-ce0c-42b8-a37b-8435e915955d,qse acabando o tempo da gamejan
99899b5a-eb3d-4d67-a64f-a143f824a709,game jam adiada 6h 🙏🙏🙏
9764ca16-8169-496a-86f2-8b5413a49083,foi ótimo
9764ca16-8169-496a-86f2-8b5413a49083,achei muito boa as palestras
9764ca16-8169-496a-86f2-8b5413a49083,conteúdos muito interessantes
30b0814c-9041-44a2-abfc-cc24393a1faa,oi pessoal
8b532002-32a9-47b8-a068-f68ebed037cd,"muito obrigado, para todos os envolvidos na organização da gamejam"
8b532002-32a9-47b8-a068-f68ebed037cd,os check-ins dese dia ficaram meio estranhos
8b532002-32a9-47b8-a068-f68ebed037cd,"no mais, é isso"
15ae4086-4952-4aac-a16b-5c2852e5e523,bom dia gente
15ae4086-4952-4aac-a16b-5c2852e5e523,mé q cês tão
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,ótimos minicursos de hoje
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,o que será o coffe break final 🤨
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,ansiosa para os brindes
b062d0fa-ab85-4add-a5ec-4129e1e22c4c,ansiosa pro resultado da game jam
15ae4086-4952-4aac-a16b-5c2852e5e523,bom minicurso para todos
15ae4086-4952-4aac-a16b-5c2852e5e523,ate o povo que entrou antes
